Age,OwnACar,CommuteMethod,Tickets,NewsArticles,Height,ShoeSize,CourseCredits,AreaCode,FirstDates,Weddings,CookDinner,CupsofCoffee,ServingsofAlcohol,HoursofSleep,Voted,PastJob,CreditScoreChecked,FluVaccine,Laptop,MobileOS,CatorDog,Field
21,Yes,Bike,2,15,72,11,16,202,0,0,0,4,3,8,Yes,PartTime,No,Yes,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
29,Yes,Bike,2,40,70,11,0,203,0,1,1,0,5,8,Yes,Internship,Yes,Yes,Mac,Android (Google),Dog,Engineering or Math/Statistics
27,Yes,Bike,5,12,74,13,1,207,0,6,2,9,21,7,Yes,Yes,Yes,Yes,Mac,Android (Google),Cat,"Natural Sciences (e.g. Physics, Chemistry, Earth Sciences)"
23,Yes,Car,0,3,64,6,8,305,0,4,2,5,3,7,No,No,Yes,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
21,No,Bike,0,20,72,11,14,314,1,0,0,0,0,4,Yes,Internship,No,No,PC,iOS (Apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
25,Yes,Walk,1,5,67,10.5,12,323,0,0,4,14,3,5,Yes,Yes,Yes,Yes,other,iOS (Apple),NeitherBothNoPref,Engineering or Math/Statistics
33,Yes,Bike,3,5,64.75,7,2,401,0,4,2,8,3,6.5,Yes,Yes,Yes,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
24,Yes,Walk,0,5,71,11,10,402,0,2,3,7,8,6,Yes,Yes,Yes,Yes,PC,Android (Google),Dog,Engineering or Math/Statistics
21,No,Bike,0,30,67,8,23,407,0,0,0,6,2,7,No,Internship,No,No,Mac,iOS (Apple),NeitherBothNoPref,Engineering or Math/Statistics
33,Yes,Car,0,35,66,8,8,410,0,3,4,0,1,9,Yes,Yes,Yes,Yes,Mac,iOS (Apple),Cat,Engineering or Math/Statistics
25,Yes,Bike,6,1,75,12,6,410,0,1,1,0,5,7,Yes,Internship,Yes,No,PC,Android (Google),Dog,Engineering or Math/Statistics
27,Yes,Walk,4,10,64,5.5,10,415,3,1,2,14,1,6,Yes,Yes,Yes,No,Mac,Android (Google),Dog,Engineering or Math/Statistics
25,Yes,Bike,0,30,71,12,4,424,1,0,4,0,4,7.5,No,Internship,Yes,Yes,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
31,Yes,Car,0,25,73,13,19,435,0,3,2,0,0,7,Yes,Yes,Yes,Yes,Mac,Android (Google),Dog,Engineering or Math/Statistics
27,Yes,Bike,0,3,65,5,2,480,7,3,3,25,8,6,Yes,Yes,Yes,Yes,Mac,Android (Google),Cat,Engineering or Math/Statistics
21,Yes,Bike,0,10,71,10,15,503,4,0,0,1,5,7,Yes,Internship,Yes,Yes,PC,iOS (Apple),NeitherBothNoPref,Engineering or Math/Statistics
23,Yes,Bike,1,2,75,12,8,504,3,4,4,0,2,6,No,Yes,Yes,No,PC,Android (Google),Dog,Engineering or Math/Statistics
23,Yes,Bike,0,30,62,5.5,8,509,1,0,5,0,0,8,Yes,Yes,No,Yes,Mac,Android (Google),NeitherBothNoPref,Engineering or Math/Statistics
25,Yes,Transit,0,7,73,11,10,510,0,1,2,2,0,7,No,Yes,No,No,Mac,Android (Google),Dog,Engineering or Math/Statistics
25,Yes,Transit,0,10,63,5.5,5,512,0,1,3,6,3,8,Yes,Internship,Yes,Yes,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
28,Yes,Walk,0,,60.5,4.5,0,513,0,1,6,5,2,7,Yes,Yes,Yes,Yes,PC,Android (Google),Cat,"Natural Sciences (e.g. Physics, Chemistry, Earth Sciences)"
25,Yes,Walk,0,10,59,9,0,608,0,1,5,25,5,7,Yes,Internship,Yes,No,Mac,Android (Google),Cat,Engineering or Math/Statistics
25,No,Bike,0,3,67,9,4,609,0,0,0,0,1,7,No,No,Yes,No,Mac,Android (Google),NeitherBothNoPref,"Humanities, Social Sciences or Other (including Law, Business and Education)"
21,Yes,Walk,30,50,65,6,12,612,2,0,4,14,20,12,No,PartTime,No,No,Mac,iOS (Apple),Dog,Medical or Life Sciences
33,Yes,Car,1,2,64,5,0,617,0,3,4,0,0,7,Yes,Yes,Yes,No,Mac,iOS (Apple),Cat,Medical or Life Sciences
23,Yes,Bike,0,,71,,10,626,,,,,,,No,Internship,Yes,No,Mac,iOS (Apple),NeitherBothNoPref,Engineering or Math/Statistics
28,No,Bike,0,3,63,6.5,18,650,3,3,0,0,1,8,No,Yes,Yes,Yes,Mac,iOS (Apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
27,Yes,Walk,1,3,64,8.5,3,650,0,1,5,0,0,6.8,Yes,Internship,No,No,Mac,Android (Google),Cat,Engineering or Math/Statistics
29,No,Bike,0,40,65,8,1,650,4,2,5,0,1,8,Yes,Yes,Yes,Yes,PC,iOS (Apple),NeitherBothNoPref,"Humanities, Social Sciences or Other (including Law, Business and Education)"
27,No,Bike,0,30,67,7.5,8,650,0,1,3,5,3,8,No,No,No,No,PC,iOS (Apple),Cat,Engineering or Math/Statistics
27,Yes,Bike,2,20,68,6.5,3,650,0,4,2,10,0,8,No,Yes,Yes,Yes,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
23,No,Bike,0,6,69,9,10,650,0,1,7,2,0,7.5,No,No,No,Yes,Mac,Android (Google),Dog,Engineering or Math/Statistics
25,No,Bike,0,50,70,8,3,650,0,1,5,0,0,7,Yes,Internship,Yes,No,Mac,Android (Google),Dog,Engineering or Math/Statistics
25,No,Transit,0,100,70,10,6,650,0,3,5,4,1,7,No,Internship,No,Yes,PC,Android (Google),Dog,Engineering or Math/Statistics
27,Yes,Car,5,50,70,11,10,650,13,2,2,0,1,7,No,Yes,Yes,No,Mac,iOS (Apple),NeitherBothNoPref,"Humanities, Social Sciences or Other (including Law, Business and Education)"
32,No,Walk,0,0,70,9,0,650,0,0,7,18,0,8,Yes,Yes,No,Yes,Mac,iOS (Apple),Cat,Engineering or Math/Statistics
21,No,Walk,0,25,71,9,10,650,0,0,5,15,0,6,No,No,No,No,PC,Android (Google),NeitherBothNoPref,Engineering or Math/Statistics
21,No,Bike,0,50,71,9,13,650,2,0,5,2,10,5,No,Internship,Yes,Yes,PC,iOS (Apple),Dog,Engineering or Math/Statistics
21,No,Bike,0,5,71,10,12,650,0,3,0,0,0,9,No,Internship,No,Yes,Mac,iOS (Apple),NeitherBothNoPref,Engineering or Math/Statistics
25,Yes,Bike,2,10,71,11,0,650,0,3,3,3,1,9,No,PartTime,Yes,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
24,No,Bike,0,10,72,10,10,650,3,0,7,20,5,8,No,Internship,No,No,Mac,iOS (Apple),Dog,Engineering or Math/Statistics
27,No,Bike,0,10,72,10.5,8,650,0,2,5,0,0,8,No,No,Yes,No,PC,Android (Google),Dog,Engineering or Math/Statistics
22,No,Bike,0,5,73,11,6,650,2,1,5,0,5,7,Yes,No,No,Yes,PC,Android (Google),Dog,"Natural Sciences (e.g. Physics, Chemistry, Earth Sciences)"
